TicketID,FieldID,FieldName,FieldData,TicketID,Asset Ownership ,Computer Hardware,Computer-Related Hardware,Conference 1 - Projector part affected,CSC Ticket Number,CSC Ticket Submission Date,Facility Asset Selection,Hardware Type,Laptop-related,Location of Issue,Network / Connection Issues,Network / Connection Related,Parking / Parking Lot Issue,PC / Tower - Related,Pratt & Whitney UCA Asset Types,Printing Hardware,Printing Issues,Projectors,PSI Owned Asset Types,Software ,Software Issues,Telecommunication Hardware Issues,Telecommunication Hardware
38,IT Support,PSI-LAPTOP102,Windows,38,PSI Owned Hardware - Software - Connection,,,,,,,,,FL - EAST OFFICE,,,,,,,,,,,,,
39,IT Support,PSI-LAPTOP102,Windows,39,PSI Owned Hardware - Software - Connection,,,,,,,,,,,,,,,,,,,,,,
45,IT Support,PSI355L,Windows,45,PSI Owned Hardware - Software - Connection,,,,,,,,,FL - REYNOLDS OFFICE,,,,,,,,,,,,,
46,IT Support,PSI355L,Windows,46,PSI Owned Hardware - Software - Connection,,,,,,,,,FL - REYNOLDS OFFICE,,,,,,,,,,,,,
47,IT Support,PSI-LAPTOP101,Windows,47,PSI Owned Hardware - Software - Connection,,,,,,,,,FL - EAST OFFICE,,,,,,,,,Hardware,,,,
48,IT Support,PSI355L,Windows,48,PSI Owned Hardware - Software - Connection,,,,,,,,,FL - EAST OFFICE,,,,,,,,,,,,,
49,IT Support,PSI355L,Windows,49,PSI Owned Hardware - Software - Connection,,,,,,,,,FL - EAST OFFICE,,,,,,,,,,,,,
50,IT Support,PSI355L,Windows,50,PSI Owned Hardware - Software - Connection,,,,,,,,,FL - EAST OFFICE,,,,,,,,,,,,,
53,IT Support,PSI355L,Windows,53,PSI Owned Hardware - Software - Connection,,,,,,,,,FL - EAST OFFICE,,,,,,,,,,,,,
54,IT Support,PSI-LAPTOP101,Windows,54,PSI Owned Hardware - Software - Connection,,,,,,,,,FL - EAST OFFICE,,,,,,,,,Software,,,,
55,IT Support,PSI355L,Windows,55,PSI Owned Hardware - Software - Connection,,,,,,,,,FL - EAST OFFICE,,,,,,,,,,,,,
56,IT Support,PSI355L,Windows,56,PSI Owned Hardware - Software - Connection,,,,,,,,,FL - EAST OFFICE,,,,,,,,,,,,,
57,IT Support,PSI355L,Windows,57,PSI Owned Hardware - Software - Connection,,,,,,,,,FL - EAST OFFICE,,,,,,,,,,,,,
58,IT Support,PSI355L,Windows,58,PSI Owned Hardware - Software - Connection,,,,,,,,,FL - EAST OFFICE,,,,,,,,,,,,,
59,IT Support,PSI355L,Windows,59,,,,,,,,,,FL - EAST OFFICE,,,,,,,,,,,,,
61,IT Support,PSI-LAPTOP101,Windows,61,PSI Owned Hardware - Software - Connection,,,,,,,,,PSI - ATLANTA,,,,,,,,,Software,,,,
62,IT Support,PSI355L,Windows,62,,,,,,,,,,FL - EAST OFFICE,,,,,,,,,,,,,
63,IT Support,PSI355L,Windows,63,,,,,,,,,,FL - EAST OFFICE,,,,,,,,,,,,,
64,IT Support,PSI355L,Windows,64,PSI Owned Hardware - Software - Connection,,,,,,,,,FL - EAST OFFICE,,,,,,,,,,,,,
66,IT Support,PSI355L,Windows,66,PSI Owned Hardware - Software - Connection,,,,,,,,,FL - EAST OFFICE,,,,,,,,,,,,,
67,IT Support,PSI355L,Windows,67,PSI Owned Hardware - Software - Connection,,,,,,,,,FL - WEST UCA,,,,,,,,,,,,,
68,IT Support,PSI355L,Windows,68,,,,,,,,,,FL - EAST OFFICE,,,,,,,,,,,,,
69,IT Support,PSI355L,Windows,69,,,,,,,,,,FL - WEST UCA,,,,,,,,,,,,,
70,IT Support,PSI355L,Windows,70,PSI Owned Hardware - Software - Connection,,,,,,,,,FL - EAST OFFICE,,,,,,,,,,,,,
73,IT Support,PSI-LAPTOP101,Windows,73,PSI Owned Hardware - Software - Connection,,,,,,,,,FL - EAST OFFICE,,,,,,,,,Connection,,,,
83,IT Support,MELISSAW,Windows,83,PSI Owned Hardware - Software - Connection,,,,,,,,,FL - EAST OFFICE,,,,,,,,,,,,,
89,IT Support,PSI-LAPTOP87,Windows,89,,,,,,,,,,FL - PSI Assembly Ops,,,,,,,,,,,,,
95,IT Support,PSI827,Windows,95,PSI Owned ,,,,,,,,,FL - PSI East Admin (900 E. Indiantown),,,,,,,,,Software,,,,
98,IT Support,PSI-LAPTOP128,Windows,98,PSI Owned ,,,,,,,,,CT - PSI UCA Hartford,,,,,,,,,Software,Firefox,Needed / Not installed,,
100,IT Support,PSI-LAPTOP128,Windows,100,PSI Owned ,,,Lamp,,,,Projectors,,CT - PSI UCA Hartford,,,,,,,,Conference Room 1 - Projector,Hardware,,,,
101,IT Support,PSI-LAPTOP128,Windows,101,Pratt & Whitney Owned ,,,,,,,,,CT - PSI UCA Hartford,,,,,PW Required Software,,,,,,,,
102,IT Support,PSI194,Windows,102,PSI Owned ,,,,,,,,,FL - PSI East Admin (900 E. Indiantown),,,,,,,,,Software,,Access Permission,,
103,IT Support,PSI194,Windows,103,PSI Owned ,,,,,,,,,FL - PSI East Admin (900 E. Indiantown),,,,,,,,,Software,,Needed / Not installed,,
104,IT Support,PSI194,Windows,104,PSI Owned ,,,,,,,Telecommunications / Phone,,FL - PSI East Admin (900 E. Indiantown),,,,,,,,,Hardware,,,,Desk Phone
105,IT Support,PSI194,Windows,105,PSI Owned ,,,,,,,Other,,FL - PSI East Admin (900 E. Indiantown),,,,,,,,,Hardware,,,,
106,IT Support,PSI194,Windows,106,PSI Owned ,,,,,,,Telecommunications / Phone,,FL - PSI East Admin (900 E. Indiantown),,,,,,,,,Hardware,,,,Desk Phone
108,IT Support,PSI-LAPTOP102,Windows,108,PSI Owned ,,,,,,,,,CT - PSI Aventail Hartford,,,,,,,,,,,,,
109,IT Support,PSI-LAPTOP102,Windows,109,PSI Owned ,,,,,,,,,FL - PSI East Admin (900 E. Indiantown),,,,,,,,,Software,,,,
111,IT Support,PSIA103,Windows,111,,,,,,,,,,GA - PSI UCA Atlanta,,,,,,,,,,,,,
118,IT Support,PSI-LAPTOP101,Windows,118,PSI Owned ,,,,,,,,,FL - PSI East Admin (900 E. Indiantown),,,,,,,,,Software,MS Office,Error shown,,
119,IT Support,PSI-LAPTOP101,Windows,119,PSI Owned ,,Laptop,,,,,PC / Laptop / Walk-up,Keyboard / Mouse / 3D Mouse,FL - PSI East Admin (900 E. Indiantown),,,,,,,,,Hardware,,,,
120,IT Support,PSI-LAPTOP101,Windows,120,PSI Owned ,,,,,,,,,CT - PSI UCA Hartford,,,,,,,,,Software,Antivirus,Needed / Not installed,,
122,IT Support,PSI-LAPTOP101,Windows,122,PSI Owned ,,,,,,,,,FL - PSI East Admin (900 E. Indiantown),,,,,,,,,Software,,,,
123,IT Support,PSI-LAPTOP101,Windows,123,PSI Owned ,,,,,,,,,FL - PSI East Admin (900 E. Indiantown),,,,,,,,,Software,MS Office,License availability,,
124,IT Support,PSI-LAPTOP101,Windows,124,PSI Owned ,,,,,,,,,FL - PSI East Admin (900 E. Indiantown),,,,,,,,,Software,,Access Permission,,
125,IT Support,PSI-LAPTOP101,Windows,125,PSI Owned ,,,,,,,,,FL - PSI East Admin (900 E. Indiantown),,,,,,,,,Software,ATT Connect,Needed / Not installed,,
