,TicketID,TicketType,Location of Issue,Asset Ownership ,PSI Owned Asset Types,Hardware Type,AssetName,AssetTypeName,Computer Hardware,Computer-Related Hardware,Conference 1 - Projector part affected,Laptop-related,PC / Tower - Related,Printing Hardware,Printing Issues,Projectors
0,38,IT Support,FL - EAST OFFICE,PSI Owned Hardware - Software - Connection,,,PSI-LAPTOP102,Windows,,,,,,,,
1,39,IT Support,,PSI Owned Hardware - Software - Connection,,,PSI-LAPTOP102,Windows,,,,,,,,
2,45,IT Support,FL - REYNOLDS OFFICE,PSI Owned Hardware - Software - Connection,,,PSI355L,Windows,,,,,,,,
3,46,IT Support,FL - REYNOLDS OFFICE,PSI Owned Hardware - Software - Connection,,,PSI355L,Windows,,,,,,,,
4,47,IT Support,FL - EAST OFFICE,PSI Owned Hardware - Software - Connection,Hardware,,PSI-LAPTOP101,Windows,,,,,,,,
5,48,IT Support,FL - EAST OFFICE,PSI Owned Hardware - Software - Connection,,,PSI355L,Windows,,,,,,,,
6,49,IT Support,FL - EAST OFFICE,PSI Owned Hardware - Software - Connection,,,PSI355L,Windows,,,,,,,,
7,50,IT Support,FL - EAST OFFICE,PSI Owned Hardware - Software - Connection,,,PSI355L,Windows,,,,,,,,
8,53,IT Support,FL - EAST OFFICE,PSI Owned Hardware - Software - Connection,,,PSI355L,Windows,,,,,,,,
9,54,IT Support,FL - EAST OFFICE,PSI Owned Hardware - Software - Connection,Software,,PSI-LAPTOP101,Windows,,,,,,,,
10,55,IT Support,FL - EAST OFFICE,PSI Owned Hardware - Software - Connection,,,PSI355L,Windows,,,,,,,,
11,56,IT Support,FL - EAST OFFICE,PSI Owned Hardware - Software - Connection,,,PSI355L,Windows,,,,,,,,
12,57,IT Support,FL - EAST OFFICE,PSI Owned Hardware - Software - Connection,,,PSI355L,Windows,,,,,,,,
13,58,IT Support,FL - EAST OFFICE,PSI Owned Hardware - Software - Connection,,,PSI355L,Windows,,,,,,,,
14,59,IT Support,FL - EAST OFFICE,,,,PSI355L,Windows,,,,,,,,
15,61,IT Support,PSI - ATLANTA,PSI Owned Hardware - Software - Connection,Software,,PSI-LAPTOP101,Windows,,,,,,,,
16,62,IT Support,FL - EAST OFFICE,,,,PSI355L,Windows,,,,,,,,
17,63,IT Support,FL - EAST OFFICE,,,,PSI355L,Windows,,,,,,,,
18,64,IT Support,FL - EAST OFFICE,PSI Owned Hardware - Software - Connection,,,PSI355L,Windows,,,,,,,,
19,66,IT Support,FL - EAST OFFICE,PSI Owned Hardware - Software - Connection,,,PSI355L,Windows,,,,,,,,
20,67,IT Support,FL - WEST UCA,PSI Owned Hardware - Software - Connection,,,PSI355L,Windows,,,,,,,,
21,68,IT Support,FL - EAST OFFICE,,,,PSI355L,Windows,,,,,,,,
22,69,IT Support,FL - WEST UCA,,,,PSI355L,Windows,,,,,,,,
23,70,IT Support,FL - EAST OFFICE,PSI Owned Hardware - Software - Connection,,,PSI355L,Windows,,,,,,,,
24,73,IT Support,FL - EAST OFFICE,PSI Owned Hardware - Software - Connection,Connection,,PSI-LAPTOP101,Windows,,,,,,,,
25,83,IT Support,FL - EAST OFFICE,PSI Owned Hardware - Software - Connection,,,MELISSAW,Windows,,,,,,,,
26,89,IT Support,FL - PSI Assembly Ops,,,,PSI-LAPTOP87,Windows,,,,,,,,
27,95,IT Support,FL - PSI East Admin (900 E. Indiantown),PSI Owned ,Software,,PSI827,Windows,,,,,,,,
28,98,IT Support,CT - PSI UCA Hartford,PSI Owned ,Software,,PSI-LAPTOP128,Windows,,,,,,,,
29,100,IT Support,CT - PSI UCA Hartford,PSI Owned ,Hardware,Projectors,PSI-LAPTOP128,Windows,,,Lamp,,,,,Conference Room 1 - Projector
30,101,IT Support,CT - PSI UCA Hartford,Pratt & Whitney Owned ,,,PSI-LAPTOP128,Windows,,,,,,,,
31,102,IT Support,FL - PSI East Admin (900 E. Indiantown),PSI Owned ,Software,,PSI194,Windows,,,,,,,,
32,103,IT Support,FL - PSI East Admin (900 E. Indiantown),PSI Owned ,Software,,PSI194,Windows,,,,,,,,
33,104,IT Support,FL - PSI East Admin (900 E. Indiantown),PSI Owned ,Hardware,Telecommunications / Phone,PSI194,Windows,,,,,,,,
34,105,IT Support,FL - PSI East Admin (900 E. Indiantown),PSI Owned ,Hardware,Other,PSI194,Windows,,,,,,,,
35,106,IT Support,FL - PSI East Admin (900 E. Indiantown),PSI Owned ,Hardware,Telecommunications / Phone,PSI194,Windows,,,,,,,,
36,108,IT Support,CT - PSI Aventail Hartford,PSI Owned ,,,PSI-LAPTOP102,Windows,,,,,,,,
37,109,IT Support,FL - PSI East Admin (900 E. Indiantown),PSI Owned ,Software,,PSI-LAPTOP102,Windows,,,,,,,,
38,111,IT Support,GA - PSI UCA Atlanta,,,,PSIA103,Windows,,,,,,,,
39,118,IT Support,FL - PSI East Admin (900 E. Indiantown),PSI Owned ,Software,,PSI-LAPTOP101,Windows,,,,,,,,
40,119,IT Support,FL - PSI East Admin (900 E. Indiantown),PSI Owned ,Hardware,PC / Laptop / Walk-up,PSI-LAPTOP101,Windows,,Laptop,,Keyboard / Mouse / 3D Mouse,,,,
41,120,IT Support,CT - PSI UCA Hartford,PSI Owned ,Software,,PSI-LAPTOP101,Windows,,,,,,,,
42,122,IT Support,FL - PSI East Admin (900 E. Indiantown),PSI Owned ,Software,,PSI-LAPTOP101,Windows,,,,,,,,
43,123,IT Support,FL - PSI East Admin (900 E. Indiantown),PSI Owned ,Software,,PSI-LAPTOP101,Windows,,,,,,,,
44,124,IT Support,FL - PSI East Admin (900 E. Indiantown),PSI Owned ,Software,,PSI-LAPTOP101,Windows,,,,,,,,
45,125,IT Support,FL - PSI East Admin (900 E. Indiantown),PSI Owned ,Software,,PSI-LAPTOP101,Windows,,,,,,,,
46,126,IT Support,FL - PSI East Admin (900 E. Indiantown),PSI Owned ,Software,,PSI-LAPTOP101,Windows,,,,,,,,
47,127,IT Support,FL - PSI East Admin (900 E. Indiantown),PSI Owned ,Hardware,PC / Laptop / Walk-up,PSI-LAPTOP101,Windows,,Laptop,,Charger,,,,
48,128,IT Support,GA - PSI UCA Atlanta,PSI Owned ,Software,,PSI-LAPTOP101,Windows,,,,,,,,
49,129,IT Support,GA - PSI UCA Atlanta,PSI Owned ,Hardware,Other,PSI-LAPTOP101,Windows,,,,,,,,
50,130,IT Support,CT - PSI UCA Hartford,PSI Owned ,Software,,PSI-LAPTOP101,Windows,,,,,,,,
51,131,IT Support,FL - PSI East Admin (900 E. Indiantown),PSI Owned ,Hardware,PC / Laptop / Walk-up,PSI-LAPTOP101,Windows,,PC / Tower,,,Memory,,,
52,132,IT Support,FL - PSI East Admin (900 E. Indiantown),PSI Owned ,Connection,,PSI-LAPTOP101,Windows,,,,,,,,
53,133,IT Support,FL - PSI East Admin (900 E. Indiantown),PSI Owned ,Hardware,Other,PSI-LAPTOP101,Windows,,,,,,,,
54,135,IT Support,CT - PSI UCA Hartford,PSI Owned ,Hardware,Other,PSI-LAPTOP101,Windows,,,,,,,,
55,136,IT Support,FL - PSI East Admin (900 E. Indiantown),PSI Owned ,Connection,,PSI-LAPTOP101,Windows,,,,,,,,
56,137,IT Support,CT - PSI UCA Hartford,PSI Owned ,Connection,,PSI-LAPTOP101,Windows,,,,,,,,
57,138,IT Support,REMOTE / Offsite Access,PSI Owned ,Software,,PSI-LAPTOP101,Windows,,,,,,,,
58,139,IT Support,FL - PSI East Admin (900 E. Indiantown),PSI Owned ,Hardware,Other,PSI-LAPTOP101,Windows,,,,,,,,
59,140,IT Support,FL - PSI East Admin (900 E. Indiantown),PSI Owned ,Hardware,PC / Laptop / Walk-up,PSI-LAPTOP101,Windows,,PC / Tower,,,Memory,,,
60,141,IT Support,FL - PSI East Admin (900 E. Indiantown),PSI Owned ,Hardware,Printing Hardware,PSI-LAPTOP101,Windows,,,,,,Scanner,,
61,142,IT Support,FL - PSI UCA West,Pratt & Whitney UCA Assets,,,PSIB2T01,Windows,,,,,,,,
62,144,IT Support,FL - PSI East Admin (900 E. Indiantown),PSI Owned ,Hardware,Other,PSI-LAPTOP101,Windows,,,,,,,,
63,145,IT Support,FL - PSI Office West,PSI Owned ,Connection,,PSIB2T01,Windows,,,,,,,,
64,146,IT Support,CT - PSI UCA Hartford,PSI Owned ,Hardware,PC / Laptop / Walk-up,PSI-LAPTOP101,Windows,,PC / Tower,,,,,,
65,147,IT Support,FL - PSI East Admin (900 E. Indiantown),PSI Owned ,Connection,,PSI-LAPTOP101,Windows,,,,,,,,
66,148,IT Support,FL - PSI East Admin (900 E. Indiantown),PSI Owned ,Hardware,Other,PSI-LAPTOP101,Windows,,,,,,,,
67,149,IT Support,FL - PSI East Admin (900 E. Indiantown),PSI Owned ,Software,,PSI-LAPTOP101,Windows,,,,,,,,
68,150,IT Support,FL - PSI East Admin (900 E. Indiantown),PSI Owned ,Software,,PSI-LAPTOP101,Windows,,,,,,,,
69,153,IT Support,FL - PSI East Office (900 E. Indiantown),PSI Owned ,Software,,PSI-LAPTOP101,Windows,,,,,,,,
70,154,IT Support,FL - PSI East Office (900 E. Indiantown),PSI Owned ,Software,,PSI-LAPTOP101,Windows,,,,,,,,
