TicketID,TicketType,AssetID,TicketTypeID,AssetName,AssetTypeName,FieldID,FieldName,FieldData
100,IT Support,1297,1,PSI-LAPTOP128,Windows,45,Has the issue been addressed or fixed?,
100,IT Support,1297,1,PSI-LAPTOP128,Windows,52,"Was this an Escape? (Min of 2 bus.days or +$5,000 loss)",
100,IT Support,1297,1,PSI-LAPTOP128,Windows,55,"Asset Ownership ","PSI Owned "
100,IT Support,1297,1,PSI-LAPTOP128,Windows,15,Location of issue,CT - PSI UCA Hartford
100,IT Support,1297,1,PSI-LAPTOP128,Windows,43,How many people are affected by the issue?,
100,IT Support,1297,1,PSI-LAPTOP128,Windows,60,PSI Owned Asset Types,Hardware
100,IT Support,1297,1,PSI-LAPTOP128,Windows,83,Hardware Type,Projectors
100,IT Support,1297,1,PSI-LAPTOP128,Windows,91,Conference 1 - Projector part affected,Lamp
100,IT Support,1297,1,PSI-LAPTOP128,Windows,93,Projectors,Conference Room 1 - Projector
100,IT Support,1297,1,PSI-LAPTOP128,Windows,88,Specific Defect,Other
